pair;anger;fear;joy;sadness;positive;negative
Svevo Livia;0;0;38;62;31;69
Svevo Livia;19;5;33;43;33;67
Svevo Livia;23;2;33;42;31;69
Svevo Livia;21;0;37;42;26;74
Svevo Livia;17;0;38;46;42;58
Svevo Livia;19;2;26;52;31;69
Svevo Livia;23;0;41;36;45;55
Svevo Livia;13;3;37;47;37;63
Svevo Livia;22;2;35;41;31;69
Svevo Livia;15;8;27;50;42;58
Svevo Livia;11;4;21;64;29;71
Svevo Livia;12;5;41;41;44;56
Svevo Livia;29;1;33;36;32;68
Svevo Livia;27;0;20;54;29;71
Svevo Livia;11;9;16;64;27;73
Svevo Livia;20;1;28;51;30;70
Svevo Livia;21;0;24;55;21;79
Svevo Livia;5;5;38;52;33;67
Svevo Livia;25;0;50;25;50;50
Svevo Livia;18;9;45;27;55;45
Svevo Livia;7;13;40;40;27;73
Svevo Livia;0;25;25;50;25;75
Svevo Livia;10;0;35;55;45;55
Svevo Livia;12;0;42;46;38;62
Svevo Livia;12;17;25;46;12;88
Svevo Livia;0;0;57;43;50;50
Svevo Livia;33;0;33;33;22;78
Svevo Livia;7;4;45;44;45;55
Svevo Livia;0;0;67;33;78;22
Svevo Livia;6;0;33;61;28;72
Svevo Livia;12;4;54;29;54;46
Svevo Livia;11;17;17;56;22;78
Svevo Livia;50;0;50;0;0;100
Svevo Livia;20;0;40;40;40;60
Svevo Livia;30;0;40;30;60;40
Svevo Livia;35;4;22;39;17;83
Svevo Livia;20;10;30;40;40;60
Svevo Livia;0;0;50;50;25;75
Svevo Livia;0;0;50;50;50;50
Svevo Livia;20;7;20;53;33;67
Svevo Livia;15;5;35;45;45;55
Svevo Livia;9;0;36;55;27;73
Svevo Livia;0;0;38;62;25;75
Svevo Livia;8;0;38;54;46;54
Svevo Livia;0;10;30;60;30;70
Svevo Livia;0;0;50;50;50;50
Svevo Livia;32;5;42;21;32;68
Svevo Livia;6;12;18;65;35;65
Svevo Livia;9;9;41;41;36;64
Svevo Livia;0;0;23;77;46;54
Svevo Livia;17;8;17;58;17;83
Svevo Livia;20;7;27;47;40;60
Svevo Livia;6;12;29;53;41;59
Svevo Livia;17;8;25;50;50;50
Svevo Livia;29;0;29;43;14;86
Svevo Livia;7;7;50;36;36;64
Svevo Livia;32;0;32;35;39;61
Svevo Livia;12;0;46;42;33;67
Svevo Livia;29;0;36;36;36;64
Svevo Livia;16;0;32;52;36;64
Svevo Livia;0;0;50;50;50;50
Svevo Livia;23;9;23;45;23;77
Svevo Livia;8;0;50;42;50;50
Svevo Livia;15;15;25;45;50;50
Svevo Livia;0;0;57;43;43;57
