year;anger;fear;joy;sadness;positive;negative
1904;15;0;46;38;31;69
1904;11;22;22;44;33;67
1904;8;8;46;38;62;38
1904;0;0;50;50;25;75
1904;9;0;27;64;18;82
1905;11;0;44;44;33;67
1905;9;0;55;36;55;45
1905;23;0;31;46;31;69
1905;10;10;24;57;48;52
1905;8;0;33;58;25;75
1905;20;0;30;50;30;70
1905;16;5;32;47;16;84
1905;14;7;43;36;43;57
1905;0;0;60;40;40;60
1905;8;0;15;77;15;85
1905;0;0;36;64;36;64
1905;11;0;21;68;26;74
1905;12;12;50;25;38;62
1905;22;6;56;17;50;50
1905;24;6;12;59;24;76
1905;13;4;39;43;35;65
1905;6;11;22;61;39;61
1905;12;6;31;50;38;62
1905;18;0;27;55;36;64
1905;10;0;31;60;33;67
1905;7;7;21;64;14;86
1905;16;0;47;37;42;58
1905;0;0;36;64;36;64
1905;0;0;56;44;56;44
1905;14;0;36;50;57;43
1905;20;8;20;52;20;80
1906;15;2;32;51;51;49
1906;16;5;22;57;38;62
1906;0;0;46;54;50;50
1906;25;3;28;44;25;75
1906;15;6;29;50;24;76
1906;11;5;21;63;37;63
1906;8;0;34;58;47;53
1906;16;5;21;58;21;79
1906;21;5;32;42;31;69
1906;0;4;33;62;25;75
1906;13;0;53;33;53;47
1906;7;0;53;40;53;47
1906;10;0;40;50;40;60
1906;0;12;29;59;47;53
1906;3;3;44;50;44;56
1906;19;0;42;38;35;65
1906;13;0;43;43;43;57
1906;19;5;26;50;26;74
1906;23;6;39;32;32;68
1906;21;3;30;45;33;67
1906;0;0;57;43;43;57
1906;5;4;35;56;36;64
1906;10;8;38;45;35;65
1906;26;0;21;53;37;63
1906;13;6;26;55;26;74
1906;7;0;64;29;57;43
1906;17;3;36;44;44;56
1906;19;5;38;38;38;62
1906;10;5;32;54;32;68
1907;18;9;36;36;27;73
1907;8;15;31;46;31;69
1907;20;0;30;50;20;80
1907;12;0;53;35;41;59
1907;29;6;24;41;24;76
1907;7;0;47;47;47;53
1907;8;8;54;31;38;62
1907;36;0;36;27;36;64
1907;0;0;57;43;43;57
1908;9;0;45;45;45;55
1908;0;0;33;67;56;44
1908;25;8;42;25;42;58
1908;25;6;44;25;44;56
1908;22;9;26;43;35;65
1908;0;0;43;57;43;57
1908;21;14;29;36;21;79
1908;20;10;40;30;20;80
1908;28;3;47;22;44;56
1908;27;4;27;42;50;50
1908;41;6;31;22;47;53
1908;8;8;38;46;69;31
1908;18;0;36;45;27;73
1908;0;0;75;25;50;50
1908;12;6;50;31;44;56
1908;23;0;31;46;31;69
1908;33;11;22;33;22;78
1908;22;0;56;22;44;56
1908;25;0;31;44;38;62
1908;6;0;31;62;19;81
1908;17;0;42;42;50;50
1908;13;7;33;47;20;80
1908;0;0;44;56;22;78
1908;25;0;36;39;39;61
1908;3;9;21;68;50;50
1908;22;3;19;57;30;70
1908;17;9;22;52;22;78
1908;17;3;36;45;41;59
1908;15;3;45;36;48;52
1908;18;5;37;39;37;63
1908;11;6;28;56;44;56
1908;15;24;38;24;38;62
1908;9;9;27;55;36;64
1908;15;6;44;35;38;62
1908;8;4;19;69;31;69
1908;8;8;24;60;28;72
1908;0;0;100;0;100;0
1908;8;0;42;50;42;58
1908;10;0;43;47;43;57
1908;10;0;48;43;43;57
1908;5;9;27;59;32;68
1908;0;0;29;71;36;64
1908;0;9;45;45;55;45
1908;0;10;50;40;50;50
1908;21;0;43;36;43;57
1908;6;3;40;51;43;57
1908;4;4;26;65;43;57
1908;9;0;36;55;18;82
1908;18;0;36;45;27;73
1908;13;4;35;48;39;61
1908;11;0;29;61;25;75
1908;14;5;33;48;38;62
1908;14;3;24;59;21;79
1908;8;8;23;62;23;77
1908;5;5;42;47;47;53
1908;10;5;35;50;35;65
1908;14;0;29;57;29;71
1908;5;0;53;42;63;37
1908;20;0;20;60;35;65
1908;36;0;36;27;27;73
1908;13;7;40;40;40;60
1908;0;0;50;50;75;25
1909;10;5;20;65;20;80
1909;0;0;44;56;33;67
1909;0;0;39;61;39;61
1909;21;7;29;43;43;57
1909;15;0;38;46;31;69
1909;0;0;75;25;50;50
1909;20;0;13;67;7;93
1910;19;0;25;56;25;75
1910;19;5;29;48;19;81
1910;26;5;37;32;37;63
1910;3;3;28;66;45;55
1910;11;0;39;50;33;67
1910;11;8;27;54;38;62
1910;23;0;36;41;41;59
1910;13;7;31;49;36;64
1910;24;4;28;44;32;68
1910;15;12;35;38;46;54
1910;14;0;36;50;32;68
1910;12;0;31;56;34;66
1910;13;5;29;53;39;61
1910;24;2;16;57;29;71
1910;6;3;27;64;27;73
1910;8;4;40;48;52;48
1910;15;0;29;56;44;56
1910;21;0;29;50;39;61
1910;16;0;38;47;50;50
1910;11;6;44;39;39;61
1910;19;0;19;62;42;58
1910;9;9;55;27;36;64
1910;0;0;33;67;39;61
1910;18;6;12;65;18;82
1910;30;4;26;41;26;74
1910;7;0;36;57;43;57
1910;50;0;50;0;0;100
1911;32;0;16;52;13;87
1911;8;0;42;50;42;58
1911;21;8;29;42;29;71
1911;22;4;26;48;39;61
1911;11;0;33;56;33;67
1911;23;8;31;38;31;69
1911;0;8;38;54;54;46
1911;0;0;56;44;56;44
1911;16;0;63;21;58;42
1911;19;4;44;33;56;44
1911;0;0;45;55;45;55
1911;16;16;42;26;32;68
1911;10;14;16;59;14;86
1911;22;16;11;51;14;86
1911;18;6;29;47;29;71
1911;26;11;9;55;17;83
1911;33;13;13;41;22;78
1911;20;11;25;43;27;73
1911;17;10;17;56;27;73
1911;28;12;24;36;32;68
1911;12;0;41;47;47;53
1911;7;7;21;64;36;64
1911;20;0;35;45;40;60
1911;17;0;67;17;67;33
1911;11;17;28;44;33;67
1911;11;0;16;74;16;84
1911;20;10;30;40;40;60
1911;0;0;28;72;33;67
1911;21;0;21;59;28;72
1911;13;4;30;52;26;74
1911;22;4;35;39;35;65
1911;0;8;62;31;62;38
1911;29;0;0;71;29;71
1911;15;6;12;68;18;82
1911;9;0;36;55;32;68
1911;24;5;24;48;33;67
1911;13;0;26;61;26;74
1911;14;0;32;55;36;64
